id,name,lat,long,located in
G1KR442,gyang khang dgon/; 觉格寺,30.93333,100.31667,nyag rong rdzong /; 新龙县; Nyakrong county
G1KR1272,志嘎寺,30.15,97.4,左贡县; Zogang County; mdzo sgang rdzong /
G1611,贡加寺; gong rgyal dgon/,31,100.33334,nyag rong rdzong /; 新龙县; Nyakrong county
G1KR1563,贡巴夏寺; dgon pa shar/,29.03333,87.65,lha rtse rdzong /; 拉孜县; Lhatse county
G1KR1344,格龙寺,30.75,95.83334,Lhorong county; 洛隆县; lho rong rdzong /
G1KR1213,喇寺,30.65,97.98333,brag g.yab rdzong /; 察雅县; Drakyap County
G3069,扎马寺; brag dmar dgon pa/,30.6,99.2,dpal yul rdzong /; Palyul county; 白玉县
G1KR785,康司寺,27.51667,99.8,香格里拉县; Gyeltang County; sems kyi nyi zla rdzong /
G1BR006,Khodonsky datsan,,,Buryatia
G493,tshogs brgya dgon pa/,,,
G1KR2924,快尔玛帐房寺; mkhar dmar dgon pa/,37.39443,98.93433,天峻县; them chen rdzong /
G4853,bde thang dgon/; 德唐寺,34.60288,103.05635,卓尼县; co ne rdzong /
G360,nam mkha' mdzod/,,,
G4582,se smug dgon/; 司木寺,29.96687,91.00439,lhun grub rdzong /; 林周县; Lhundrub county
G3798,dar mdo sa skya dgon/,,,康定县; Dardo county; dar mdo rdzong /
G3229,bsam gtan chos gling /,,,rma chu rdzong /; 玛曲县
G2CN11144,du li dgon pa/,29.115626,82.601447,bal yul/; 尼泊尔; nepal
G1KR2816,杰热达活动点; zes res mda',32.03713,96.84129,nang chen rdzong /; 囊谦县; Nangchen County
G1PD110070,karma rab brtan gling /,,,sikkim; 'bras ljongs/
G1KG16740,o rgyan chos gling /,,,bum thang /
G1KR2343,hu'u lung po'u zi/; 贺龙堡寺,35.63725,102.66561,循化县; ya rdzi rdzong /
G1KR1644,Jadur; bya dur dgon/; 甲土寺,28.43333,85.33334,skyid grong rdzong /; 吉隆县; Kyirong county
G1KR53,木坡寺; mi pham dgon/,31.23276,102.44954,btsan lha rdzong /; 小金县
G1KR1345,俄多寺,30.75,95.83334,Lhorong county; 洛隆县; lho rong rdzong /
G4426,ri steng dgon/,,,snye mo rdzong /; 尼木县; Nyemo county
G4009,gnam bskos dgon/; 郎根寺,30.1,99.05,'ba' thang rdzong /; Batang county; 巴塘县
G494,dwags stod gling /,,,dwags po/
G294,btsan po dgon/; 赞布寺; Tsenpo Gon,37.03,101.81,大通县; gser khog rdzong /
G3688,dpal ri dgon/; 白日寺,29.18333,89.25,pa snam rdzong /; 白朗县; Panam County
G2537,sna bug chos rdzong dgon pa/,34.94752,102.96742,bsang chu rdzong /; 夏河县; sna bug zhang (bsang chu)
G3537,sman gong dgon pa/,,,rnam gling rdzong /; 南木林县; Namling County; shangs/
G2KG229027,'go tsha dgon/,,,sde dge
G1KR2611,郭仁多寺; gor mdo'i mtshams khang /,35.91956,100.91825,贵南县; mang ra rdzong /
G1KR2659,'brong ba'i chos sgar/; 仲哇帐房寺,33.63938,99.45,达日县; dar lag rdzong /
G1KR1168,扎培寺,31.21667,95.36667,steng chen rdzong /; Tengchen County; 丁青县
G1KR2756,旦荣代东寺; dam gzhung gter ston/,33.06589,94.18674,杂多县; rdza stod rdzong /
G1KR817,gnas chung dgon pa/; 乃穷寺,29.67113,91.05548,lha sa/; Lhasa; 拉萨
G1KR778,孜夏新寺,27.81667,99.7,香格里拉县; Gyeltang County; sems kyi nyi zla rdzong /
G1PD95993,光角寺; kong jo zi/,36.18186,102.8207,民和县; bka' ma log rdzong /
G435,卓尼寺; co ne dgon chen/,34.59989,103.5121,co ne/; 卓尼县; co ne rdzong /
G4613,ra tshag dgon/; 热擦寺,29.72134,90.95354,stod lung bde chen rdzong /; Tolung Dechen County; 堆龙德庆县
G1PD96271,尕洞寺; ka thung dgon pa/,35.98549,102.68136,化隆回族自治县; ba yan rdzong /
G362,bsam sdings dgon/,,,pa snam rdzong /; 白朗县; Panam County
G495,gong ra nges gsang rdo rje gling /,,,rin spungs rdzong /; 仁布县; Rinpung county
G2064,spang sa dgon/; 邦萨贡巴,29.796,91.91836,mal gro gung dkar rdzong /; Medro Gongkar County; 墨竹工卡县; bkra shis sgang shang (mal gro gung dkar)
G418,'bras tshal dgon/; 则色寺,31.61667,100.01667,dkar mdzes rdzong /; Kartse County; 甘孜县
G4072,bde ldan nor bu gling /,,,rong brag rdzong /; Rongdrak county; 丹巴县
G3125,ding ri glang 'khor dgon/; 朗果寺,28.51667,86.48333,ding ri/; ding ri rdzong /; 定日县; Tingri County
G1KR1585,桑珠甘丹寺; bsam grub dga' ldan/,29.35,87.41666,ngam ring rdzong /; Ngamring county; 昂仁县
G1GS107982,grum mda' dgon/,,,dwags po/
G1KR1106,达摩寺,30.43333,98.4,贡觉县; Gongjo County; go 'jo rdzong /
G1662,rdza 'bum smad dgon/; 牟买寺,32.16667,99.35,sde dge rdzong /; 德格县; Derge County
G2699,gan pa shog dgon pa/; 改巴肖寺,35.02515,96.39561,曲麻莱县; chu dmar leb rdzong /
G2643,bde mo dgon/,,,nang chen rdzong /; 囊谦县; Nangchen County
G1KR160,a sug dgon pa/; 阿诗玛寺,32.57127,100.92841,'dzam thang rdzong /; 壤塘县
G1KR1754,lung dkar dgon/; 龙卡寺,32.06935,94.183474,Bachen county; sbra chen rdzong /; 巴青县
G1KR779,孜夏寺,27.81667,99.7,香格里拉县; Gyeltang County; sems kyi nyi zla rdzong /
G4735,rta ra/,,,
G4868,sgyis tshang sgar/; 吉仓寺,,,bsang chu rdzong /; 夏河县
